Model Name,Provider,Dataset,Use Case Score
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,44.34%
QwQ 32B,Alibaba,Alibaba training dataset,44.34%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,44.08%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,43.86%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,43.84%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,43.77%
Qwen2.5 Max,Alibaba,Alibaba training dataset,43.08%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,41.97%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,41.88%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,41.79%
Llama 4 Scout,Meta,Meta training dataset,41.62%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,40.98%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,40.87%
Mistral Medium 3.1,Mistral,Mistral training dataset,40.74%
MiniMax-Text-01,MiniMax,MiniMax training dataset,40.38%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,40.33%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,40.21%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,40.18%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,40.17%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,40.13%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,40.00%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,39.58%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,39.40%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,39.29%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,39.18%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,39.16%
Command A,Cohere,Cohere training dataset,39.12%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,38.89%
Grok 2 (Dec '24),xAI,xAI training dataset,38.78%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,38.78%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,38.77%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,38.50%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,38.45%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,38.32%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,37.95%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,37.77%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,37.71%
Pixtral Large,Mistral,Mistral training dataset,37.63%
Mistral Small 3.2,Mistral,Mistral training dataset,37.62%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,37.44%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,37.21%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,37.03%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,37.02%
Reka Flash 3,Reka AI,Reka AI training dataset,36.60%
Command-R (Aug '24),Cohere,Cohere training dataset,36.59%
Command-R (Mar '24),Cohere,Cohere training dataset,36.47%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,36.30%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,36.18%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,36.10%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,35.89%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,35.79%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,35.68%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,35.64%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,35.41%
Gemma 3 27B Instruct,Google,Google training dataset,35.20%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,35.16%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,35.10%
Mistral Small 3.1,Mistral,Mistral training dataset,34.96%
Devstral Small (Jul '25),Mistral,Mistral training dataset,34.73%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,34.30%
Devstral Small (May '25),Mistral,Mistral training dataset,34.05%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,33.80%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,33.76%
Mistral Small 3,Mistral,Mistral training dataset,33.66%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,33.66%
Granite 4.0 H Small,IBM,IBM training dataset,33.51%
Gemma 3 12B Instruct,Google,Google training dataset,32.94%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,32.90%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,32.84%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,32.32%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,31.99%
Mistral 7B Instruct,Mistral,Mistral training dataset,31.49%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,31.05%
Codestral-Mamba,Mistral,Mistral training dataset,30.90%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,30.65%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,30.60%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,30.46%
Gemma 2 27B,Google,Google training dataset,30.41%
Llama 3 Instruct 70B,Meta,Meta training dataset,30.07%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,29.96%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,29.32%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,28.82%
Mistral Small (Sep '24),Mistral,Mistral training dataset,28.38%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,27.76%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,27.68%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,27.13%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,26.80%
Gemma 3n E4B Instruct,Google,Google training dataset,26.61%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,26.40%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,25.83%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,25.82%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,25.76%
Granite 4.0 Micro,IBM,IBM training dataset,25.44%
Pixtral 12B (2409),Mistral,Mistral training dataset,25.35%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,25.23%
Gemma 2 9B,Google,Google training dataset,25.13%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,24.89%
Gemma 3 4B Instruct,Google,Google training dataset,24.59%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,24.48%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,24.03%
Command-R+ (Aug '24),Cohere,Cohere training dataset,23.12%
LFM 40B,Liquid AI,Liquid AI training dataset,22.93%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,22.87%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,22.84%
Command-R+ (Apr '24),Cohere,Cohere training dataset,22.68%
Aya Expanse 32B,Cohere,Cohere training dataset,22.54%
DBRX Instruct,Databricks,Databricks training dataset,22.08%
Llama 2 Chat 70B,Meta,Meta training dataset,21.93%
Llama 3 Instruct 8B,Meta,Meta training dataset,21.79%
Llama 2 Chat 13B,Meta,Meta training dataset,21.74%
Ministral 8B,Mistral,Mistral training dataset,21.38%
Mistral NeMo,Mistral,Mistral training dataset,21.24%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,21.18%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,21.02%
Gemma 3n E2B Instruct,Google,Google training dataset,20.72%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,20.70%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,20.20%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,20.14%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,20.06%
Granite 4.0 1B,IBM,IBM training dataset,19.93%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,19.57%
Granite 4.0 H 1B,IBM,IBM training dataset,19.48%
Aya Expanse 8B,Cohere,Cohere training dataset,19.43%
R1 1776,Perplexity,Perplexity training dataset,19.10%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,19.02%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,18.97%
Solar Mini,Upstage,Upstage training dataset,18.90%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,18.74%
Codestral (May '24),Mistral,Mistral training dataset,18.32%
Grok-1,xAI,xAI training dataset,18.20%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,17.27%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,17.01%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,16.57%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,15.18%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,14.50%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,13.80%
Llama 2 Chat 7B,Meta,Meta training dataset,12.92%
Granite 4.0 H 350M,IBM,IBM training dataset,12.73%
Gemma 3 1B Instruct,Google,Google training dataset,12.72%
Granite 4.0 350M,IBM,IBM training dataset,12.09%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,8.60%
Gemma 3 270M,Google,Google training dataset,8.20%
Arctic Instruct,Snowflake,Snowflake training dataset,7.60%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,5.60%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A
