Model Name,Provider,Dataset,Use Case Score
Command-R+ (Aug '24),Cohere,Cohere training dataset,27.35%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,27.23%
Granite 4.0 H Small,IBM,IBM training dataset,27.21%
Command-R+ (Apr '24),Cohere,Cohere training dataset,27.15%
LFM 40B,Liquid AI,Liquid AI training dataset,27.05%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,26.81%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,26.80%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,26.77%
DBRX Instruct,Databricks,Databricks training dataset,26.46%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,26.41%
Llama 2 Chat 70B,Meta,Meta training dataset,26.22%
Reka Flash 3,Reka AI,Reka AI training dataset,26.07%
Llama 2 Chat 13B,Meta,Meta training dataset,26.00%
Llama 3 Instruct 8B,Meta,Meta training dataset,25.65%
Gemma 3 12B Instruct,Google,Google training dataset,25.55%
Mistral NeMo,Mistral,Mistral training dataset,25.45%
Mistral Small 3,Mistral,Mistral training dataset,25.36%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,25.26%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,24.54%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,24.13%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,23.90%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,23.81%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,23.06%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,22.76%
Command-R (Aug '24),Cohere,Cohere training dataset,22.43%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,22.40%
Command-R (Mar '24),Cohere,Cohere training dataset,22.27%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,22.13%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,22.13%
Codestral (May '24),Mistral,Mistral training dataset,21.54%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,21.45%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,21.40%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,20.79%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,20.60%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,20.21%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,20.20%
Solar Mini,Upstage,Upstage training dataset,20.20%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,20.02%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,19.97%
Granite 4.0 Micro,IBM,IBM training dataset,19.87%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,19.67%
Gemma 3 4B Instruct,Google,Google training dataset,19.17%
Gemma 3n E4B Instruct,Google,Google training dataset,19.08%
Aya Expanse 32B,Cohere,Cohere training dataset,18.71%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,17.94%
Ministral 8B,Mistral,Mistral training dataset,17.71%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,17.34%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,16.54%
Granite 4.0 1B,IBM,IBM training dataset,16.34%
Granite 4.0 H 1B,IBM,IBM training dataset,16.05%
Mistral 7B Instruct,Mistral,Mistral training dataset,15.92%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,15.59%
Codestral-Mamba,Mistral,Mistral training dataset,15.28%
Gemma 3n E2B Instruct,Google,Google training dataset,14.74%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,14.67%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,14.18%
Aya Expanse 8B,Cohere,Cohere training dataset,13.70%
Llama 2 Chat 7B,Meta,Meta training dataset,13.69%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,13.47%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,12.68%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,12.42%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,12.04%
Granite 4.0 H 350M,IBM,IBM training dataset,9.52%
Granite 4.0 350M,IBM,IBM training dataset,9.10%
Gemma 3 1B Instruct,Google,Google training dataset,8.77%
Gemma 3 270M,Google,Google training dataset,6.12%
Grok-1,xAI,xAI training dataset,N/A
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A
R1 1776,Perplexity,Perplexity training dataset,N/A
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,N/A
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,N/A
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,N/A
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,N/A
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,N/A
Arctic Instruct,Snowflake,Snowflake training dataset,N/A
