Model Name,Provider,Dataset,LiveCodeBench,IFBench,Terminal-Bench Hard,Coding Index
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,69.50%,43.40%,23.40%,43.80%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,60.40%,34.20%,5.00%,29.20%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,56.10%,36.70%,27.00%,38.70%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,35.20%,28.60%,6.40%,20.10%
Aya Expanse 32B,Cohere,Cohere training dataset,13.70%,28.80%,0.70%,9.80%
Aya Expanse 8B,Cohere,Cohere training dataset,7.00%,24.10%,0.00%,4.90%
Command A,Cohere,Cohere training dataset,28.70%,36.50%,0.70%,19.20%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,72.80%,61.70%,9.90%,39.20%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,18.10%,35.20%,2.10%,13.00%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,21.00%,52.40%,0.70%,9.20%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,6.10%,31.40%,0.00%,5.10%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,58.50%,40.50%,17.70%,37.40%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,37.70%,33.50%,4.30%,20.00%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,64.10%,49.80%,1.40%,30.40%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,52.40%,46.10%,14.20%,34.20%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,40.30%,32.70%,14.20%,27.40%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,73.80%,59.40%,7.10%,36.40%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,51.40%,39.20%,7.80%,29.80%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,78.80%,51.20%,12.80%,44.60%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,68.40%,39.70%,7.10%,35.40%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,78.40%,60.70%,9.20%,42.10%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,70.70%,50.70%,5.00%,36.30%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,51.50%,33.10%,5.70%,29.20%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,67.90%,43.40%,3.50%,34.00%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,59.40%,42.70%,6.40%,33.90%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,42.20%,31.20%,1.40%,20.80%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,47.60%,33.10%,5.70%,28.00%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,69.70%,45.10%,5.00%,34.50%
Qwen3 Max,Alibaba,Alibaba training dataset,76.70%,44.10%,19.10%,44.70%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,64.60%,56.50%,10.60%,38.40%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,53.50%,53.80%,16.30%,36.20%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,29.00%,31.80%,0.00%,14.20%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,33.20%,32.30%,2.10%,17.60%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,35.30%,39.90%,3.50%,20.30%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,32.00%,36.60%,1.40%,16.80%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,62.80%,43.30%,7.10%,28.90%
Ring-1T,InclusionAI,InclusionAI training dataset,64.30%,44.60%,6.40%,35.80%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,42.90%,23.60%,0.70%,19.00%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,58.90%,34.40%,9.90%,32.60%
Ling-1T,InclusionAI,InclusionAI training dataset,67.70%,34.80%,9.90%,37.60%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,76.50%,41.90%,6.40%,39.80%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,76.60%,51.40%,24.80%,47.40%
o1,OpenAI,OpenAI training dataset,67.90%,N/A,12.10%,38.60%
o1-preview,OpenAI,OpenAI training dataset,N/A,N/A,N/A,34.00%
o1-mini,OpenAI,OpenAI training dataset,57.60%,N/A,N/A,N/A
GPT-4o (Aug '24),OpenAI,OpenAI training dataset,31.70%,N/A,N/A,N/A
GPT-4o (May '24),OpenAI,OpenAI training dataset,33.40%,N/A,N/A,24.20%
GPT-4 Turbo,OpenAI,OpenAI training dataset,29.10%,N/A,N/A,21.50%
GPT-4o (Nov '24),OpenAI,OpenAI training dataset,30.90%,34.30%,7.80%,24.00%
GPT-4o mini,OpenAI,OpenAI training dataset,23.40%,31.00%,N/A,N/A
GPT-3.5 Turbo,OpenAI,OpenAI training dataset,N/A,N/A,N/A,10.70%
GPT-4.1,OpenAI,OpenAI training dataset,45.70%,43.00%,12.80%,32.20%
o3-mini (high),OpenAI,OpenAI training dataset,73.40%,N/A,N/A,42.10%
GPT-4.1 nano,OpenAI,OpenAI training dataset,32.60%,32.00%,3.50%,20.70%
GPT-4.1 mini,OpenAI,OpenAI training dataset,48.30%,38.30%,7.10%,31.90%
o4-mini (high),OpenAI,OpenAI training dataset,85.90%,68.70%,14.20%,48.90%
"GPT-4o (March 2025, chatgpt-4o-latest)",OpenAI,OpenAI training dataset,42.50%,N/A,N/A,N/A
o3-mini,OpenAI,OpenAI training dataset,71.70%,N/A,6.40%,39.40%
GPT-4,OpenAI,OpenAI training dataset,N/A,N/A,N/A,13.10%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,23.20%,34.40%,2.80%,17.60%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,11.60%,28.60%,0.70%,8.50%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,8.30%,26.20%,N/A,N/A
Llama 3 Instruct 70B,Meta,Meta training dataset,19.80%,N/A,N/A,N/A
Llama 3 Instruct 8B,Meta,Meta training dataset,9.60%,N/A,N/A,N/A
Llama 3.2 Instruct 1B,Meta,Meta training dataset,1.90%,22.80%,0.00%,1.20%
Llama 2 Chat 70B,Meta,Meta training dataset,9.80%,N/A,N/A,N/A
Llama 2 Chat 13B,Meta,Meta training dataset,9.80%,N/A,N/A,N/A
Llama 2 Chat 7B,Meta,Meta training dataset,0.20%,N/A,N/A,N/A
Gemini 2.0 Pro Experimental (Feb '25),Google,Google training dataset,34.70%,N/A,N/A,25.50%
Gemini 2.0 Flash (experimental),Google,Google training dataset,21.00%,N/A,N/A,N/A
Gemini 1.5 Pro (Sep '24),Google,Google training dataset,31.60%,N/A,N/A,23.60%
Gemini 2.0 Flash-Lite (Preview),Google,Google training dataset,17.90%,N/A,N/A,N/A
Gemini 2.0 Flash (Feb '25),Google,Google training dataset,33.40%,40.20%,3.50%,23.40%
Gemini 1.5 Flash (Sep '24),Google,Google training dataset,27.30%,N/A,N/A,N/A
Gemma 2 27B,Google,Google training dataset,27.90%,N/A,N/A,N/A
Gemma 2 9B,Google,Google training dataset,12.60%,N/A,N/A,N/A
Gemini 1.5 Flash-8B,Google,Google training dataset,21.70%,N/A,N/A,N/A
Gemini 2.0 Flash Thinking Experimental (Jan '25),Google,Google training dataset,32.10%,N/A,N/A,24.10%
Gemini 2.5 Flash-Lite (Reasoning),Google,Google training dataset,59.30%,49.90%,4.30%,27.60%
Gemini 1.0 Pro,Google,Google training dataset,11.60%,N/A,N/A,N/A
Gemini 1.5 Pro (May '24),Google,Google training dataset,24.40%,N/A,N/A,19.80%
Gemini 1.0 Ultra,Google,Google training dataset,N/A,N/A,N/A,17.60%
Gemini 2.5 Flash Preview (Non-reasoning),Google,Google training dataset,40.60%,N/A,N/A,N/A
Gemini 1.5 Flash (May '24),Google,Google training dataset,19.60%,N/A,N/A,N/A
Gemini 2.5 Pro Preview (May' 25),Google,Google training dataset,77.00%,N/A,N/A,N/A
Gemini 2.5 Flash (Non-reasoning),Google,Google training dataset,49.50%,39.00%,11.30%,30.00%
Gemini 2.5 Flash Preview (Reasoning),Google,Google training dataset,50.50%,N/A,N/A,N/A
Gemini 2.0 Flash-Lite (Feb '25),Google,Google training dataset,18.50%,N/A,N/A,N/A
Gemini 2.5 Flash (Reasoning),Google,Google training dataset,69.50%,50.30%,12.80%,40.50%
Gemini 2.5 Flash-Lite (Non-reasoning),Google,Google training dataset,40.00%,31.50%,2.10%,19.90%
Gemma 3n E4B Instruct Preview (May '25),Google,Google training dataset,13.80%,N/A,N/A,N/A
Gemini 2.5 Pro Preview (Mar' 25),Google,Google training dataset,77.80%,N/A,N/A,46.70%
PALM-2,Google,Google training dataset,N/A,N/A,N/A,4.60%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,29.30%,31.20%,5.70%,21.40%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,26.70%,31.60%,N/A,N/A
Pixtral Large,Mistral,Mistral training dataset,26.10%,34.50%,N/A,N/A
Mistral Small 3,Mistral,Mistral training dataset,25.20%,26.40%,N/A,N/A
Mistral Small (Sep '24),Mistral,Mistral training dataset,14.10%,N/A,N/A,N/A
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,14.80%,N/A,N/A,N/A
Mistral Small (Feb '24),Mistral,Mistral training dataset,11.10%,N/A,N/A,N/A
Mistral Large (Feb '24),Mistral,Mistral training dataset,17.80%,N/A,N/A,N/A
Pixtral 12B (2409),Mistral,Mistral training dataset,11.50%,N/A,N/A,N/A
Mistral NeMo,Mistral,Mistral training dataset,5.70%,N/A,N/A,N/A
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,6.60%,N/A,N/A,N/A
Codestral-Mamba,Mistral,Mistral training dataset,13.30%,N/A,N/A,N/A
Mistral 7B Instruct,Mistral,Mistral training dataset,4.60%,N/A,N/A,N/A
Devstral Small (May '25),Mistral,Mistral training dataset,25.80%,N/A,N/A,N/A
Mistral Small 3.1,Mistral,Mistral training dataset,21.20%,29.90%,N/A,N/A
Codestral (May '24),Mistral,Mistral training dataset,21.30%,N/A,N/A,N/A
Mistral Medium,Mistral,Mistral training dataset,9.90%,N/A,N/A,N/A
Magistral Small 1,Mistral,Mistral training dataset,51.40%,24.80%,4.30%,26.60%
Magistral Medium 1,Mistral,Mistral training dataset,52.70%,25.10%,8.50%,30.30%
Mistral Medium 3,Mistral,Mistral training dataset,40.00%,39.30%,3.50%,25.60%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,27.00%,22.90%,N/A,N/A
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,35.90%,34.80%,6.40%,25.90%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,37.60%,22.10%,N/A,N/A
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,23.30%,17.60%,N/A,N/A
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,7.00%,13.20%,N/A,N/A
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,57.70%,37.80%,22.70%,39.00%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,61.70%,39.00%,5.70%,34.40%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,78.40%,41.50%,24.10%,47.20%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,40.50%,41.00%,14.20%,30.20%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,15.80%,N/A,N/A,N/A
Sonar Pro,Perplexity,Perplexity training dataset,27.50%,N/A,N/A,N/A
Sonar,Perplexity,Perplexity training dataset,29.50%,N/A,N/A,N/A
Grok Beta,xAI,xAI training dataset,24.10%,N/A,N/A,N/A
Grok 3,xAI,xAI training dataset,42.50%,46.90%,10.60%,30.00%
Grok 2 (Dec '24),xAI,xAI training dataset,26.70%,N/A,N/A,N/A
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,11.50%,N/A,N/A,N/A
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,15.00%,21.50%,0.00%,8.90%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,11.60%,23.90%,0.00%,6.90%
LFM 40B,Liquid AI,Liquid AI training dataset,9.60%,N/A,N/A,N/A
Solar Pro 2 (Preview) (Non-reasoning),Upstage,Upstage training dataset,38.50%,N/A,N/A,N/A
Solar Pro 2 (Preview) (Reasoning),Upstage,Upstage training dataset,46.20%,N/A,N/A,N/A
DBRX Instruct,Databricks,Databricks training dataset,9.30%,N/A,N/A,N/A
MiniMax M1 40k,MiniMax,MiniMax training dataset,65.70%,41.20%,2.10%,35.20%
MiniMax M1 80k,MiniMax,MiniMax training dataset,71.10%,41.80%,2.80%,37.10%
Kimi K2,Moonshot AI,Moonshot AI training dataset,55.60%,41.50%,14.90%,35.00%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,29.10%,N/A,N/A,N/A
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,12.70%,22.40%,0.00%,7.60%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,18.80%,N/A,N/A,N/A
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,73.80%,44.10%,21.30%,43.30%
Command-R+ (Aug '24),Cohere,Cohere training dataset,11.10%,N/A,N/A,N/A
Command-R+ (Apr '24),Cohere,Cohere training dataset,12.20%,N/A,N/A,N/A
Command-R (Aug '24),Cohere,Cohere training dataset,4.40%,N/A,N/A,N/A
Command-R (Mar '24),Cohere,Cohere training dataset,4.80%,N/A,N/A,N/A
Jamba Instruct,AI21 Labs,AI21 Labs training dataset,4.60%,N/A,N/A,N/A
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,7.10%,N/A,N/A,N/A
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,17.20%,N/A,N/A,N/A
Jamba 1.5 Mini,AI21 Labs,AI21 Labs training dataset,6.20%,N/A,N/A,N/A
Jamba 1.5 Large,AI21 Labs,AI21 Labs training dataset,14.30%,N/A,N/A,N/A
Qwen2.5 Max,Alibaba,Alibaba training dataset,35.90%,N/A,N/A,N/A
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,27.60%,36.90%,4.30%,19.50%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,29.50%,N/A,N/A,N/A
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,16.30%,N/A,N/A,N/A
Qwen2 Instruct 72B,Alibaba,Alibaba training dataset,15.90%,N/A,N/A,N/A
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,28.80%,31.50%,N/A,N/A
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,23.30%,N/A,N/A,N/A
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,24.80%,N/A,N/A,N/A
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,50.60%,41.50%,2.10%,27.10%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,62.20%,38.70%,5.70%,35.90%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,54.60%,36.30%,2.80%,30.90%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,28.00%,23.90%,5.00%,19.80%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,12.60%,21.10%,0.00%,6.50%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,20.20%,28.60%,2.10%,13.00%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,40.60%,33.50%,2.10%,21.80%
QwQ 32B,Alibaba,Alibaba training dataset,63.10%,38.80%,N/A,N/A
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,34.30%,36.60%,5.70%,23.30%
QwQ 32B-Preview,Alibaba,Alibaba training dataset,33.70%,N/A,N/A,N/A
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,46.50%,32.50%,N/A,N/A
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,7.30%,21.90%,0.00%,3.80%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,32.20%,31.90%,6.40%,21.60%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,12.60%,N/A,N/A,N/A
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,52.30%,40.50%,3.50%,29.10%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,30.80%,26.90%,0.00%,11.70%
Qwen3 Max (Preview),Alibaba,Alibaba training dataset,65.10%,48.00%,18.40%,40.20%
