Model Name,Provider,Dataset,Use Case Score
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,34.85%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,34.70%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,34.58%
Command A,Cohere,Cohere training dataset,34.27%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,34.12%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,33.97%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,33.95%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,33.92%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,33.83%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,33.77%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,33.77%
Devstral Small (May '25),Mistral,Mistral training dataset,33.72%
Mistral Small 3.2,Mistral,Mistral training dataset,32.90%
Command-R (Aug '24),Cohere,Cohere training dataset,32.90%
Command-R (Mar '24),Cohere,Cohere training dataset,32.83%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,32.59%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,32.52%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,32.26%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,32.19%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,31.92%
Pixtral Large,Mistral,Mistral training dataset,31.67%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,31.65%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,31.52%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,31.20%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,30.99%
Devstral Small (Jul '25),Mistral,Mistral training dataset,30.89%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,30.86%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,30.73%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,30.65%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,30.64%
Gemma 2 27B,Google,Google training dataset,30.61%
Mistral Small 3.1,Mistral,Mistral training dataset,30.51%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,30.33%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,30.32%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,30.25%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,30.22%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,30.19%
Llama 3 Instruct 70B,Meta,Meta training dataset,30.18%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,30.11%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,29.89%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,29.84%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,29.82%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,29.81%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,29.59%
Gemma 3 27B Instruct,Google,Google training dataset,29.37%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,29.08%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,29.04%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,28.60%
Reka Flash 3,Reka AI,Reka AI training dataset,28.49%
Granite 4.0 H Small,IBM,IBM training dataset,28.44%
Mistral 7B Instruct,Mistral,Mistral training dataset,28.35%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,28.24%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,28.16%
Mistral Small (Sep '24),Mistral,Mistral training dataset,28.07%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,27.95%
Gemma 3 12B Instruct,Google,Google training dataset,27.93%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,27.81%
Codestral-Mamba,Mistral,Mistral training dataset,27.11%
Mistral Small 3,Mistral,Mistral training dataset,26.66%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,26.57%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,25.98%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,25.55%
Gemma 2 9B,Google,Google training dataset,25.55%
Pixtral 12B (2409),Mistral,Mistral training dataset,25.24%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,25.21%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,24.68%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,24.57%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,24.39%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,23.67%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,23.41%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,22.78%
Command-R+ (Aug '24),Cohere,Cohere training dataset,22.72%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,22.68%
LFM 40B,Liquid AI,Liquid AI training dataset,22.62%
Command-R+ (Apr '24),Cohere,Cohere training dataset,22.52%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,22.48%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,22.29%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,22.06%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,21.93%
Llama 3 Instruct 8B,Meta,Meta training dataset,21.73%
DBRX Instruct,Databricks,Databricks training dataset,21.68%
Llama 2 Chat 70B,Meta,Meta training dataset,21.52%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,21.50%
Gemma 3n E4B Instruct,Google,Google training dataset,21.48%
Llama 2 Chat 13B,Meta,Meta training dataset,21.39%
Mistral NeMo,Mistral,Mistral training dataset,20.91%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,20.83%
Granite 4.0 Micro,IBM,IBM training dataset,20.82%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,20.70%
Gemma 3 4B Instruct,Google,Google training dataset,20.66%
Aya Expanse 32B,Cohere,Cohere training dataset,20.26%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,20.20%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,19.99%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,19.41%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,19.22%
R1 1776,Perplexity,Perplexity training dataset,19.10%
Solar Mini,Upstage,Upstage training dataset,18.90%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,18.78%
Ministral 8B,Mistral,Mistral training dataset,18.57%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,18.23%
Grok-1,xAI,xAI training dataset,18.20%
Codestral (May '24),Mistral,Mistral training dataset,18.16%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,17.73%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,17.16%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,16.98%
Gemma 3n E2B Instruct,Google,Google training dataset,16.77%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,16.75%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,16.29%
Granite 4.0 1B,IBM,IBM training dataset,16.23%
Granite 4.0 H 1B,IBM,IBM training dataset,16.12%
Aya Expanse 8B,Cohere,Cohere training dataset,15.25%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,14.50%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,14.45%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,14.34%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,13.41%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,12.63%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,12.62%
Llama 2 Chat 7B,Meta,Meta training dataset,11.54%
Gemma 3 1B Instruct,Google,Google training dataset,9.02%
Granite 4.0 H 350M,IBM,IBM training dataset,8.87%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,8.60%
Granite 4.0 350M,IBM,IBM training dataset,8.30%
Arctic Instruct,Snowflake,Snowflake training dataset,7.60%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,5.60%
Gemma 3 270M,Google,Google training dataset,5.08%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A
