Model Name,Provider,Dataset,Use Case Score
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,45.42%
GLM-4.5-Air,Z AI,Z AI training dataset,45.37%
Llama 4 Maverick,Meta,Meta training dataset,45.02%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,44.09%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,43.62%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,43.57%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,42.88%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,42.16%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,42.14%
Ling-1T,InclusionAI,InclusionAI training dataset,42.10%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,41.98%
Qwen2.5 Max,Alibaba,Alibaba training dataset,41.85%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,41.37%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,40.98%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,40.40%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,38.51%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,38.44%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,38.35%
Grok 2 (Dec '24),xAI,xAI training dataset,38.10%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,38.06%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,37.88%
QwQ 32B,Alibaba,Alibaba training dataset,37.85%
MiniMax-Text-01,MiniMax,MiniMax training dataset,37.45%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,37.23%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,36.69%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,36.45%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,36.30%
Magistral Small 1.2,Mistral,Mistral training dataset,36.27%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,36.26%
Llama 4 Scout,Meta,Meta training dataset,36.14%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,35.72%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,35.39%
Command-R (Aug '24),Cohere,Cohere training dataset,35.35%
Command-R (Mar '24),Cohere,Cohere training dataset,35.29%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,35.29%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,35.09%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,34.21%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,34.17%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,34.01%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,33.77%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,33.76%
Devstral Small (May '25),Mistral,Mistral training dataset,33.75%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,33.63%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,33.55%
Mistral Medium 3.1,Mistral,Mistral training dataset,33.37%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,33.37%
Ring-1T,InclusionAI,InclusionAI training dataset,33.06%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,33.02%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,32.99%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,32.98%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,32.48%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,32.36%
Command A,Cohere,Cohere training dataset,32.29%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,31.77%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,31.75%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,31.52%
Mistral Small 3.2,Mistral,Mistral training dataset,31.01%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,30.92%
Mistral 7B Instruct,Mistral,Mistral training dataset,30.88%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,30.86%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,30.64%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,30.64%
Gemma 2 27B,Google,Google training dataset,30.61%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,30.60%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,30.12%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,30.10%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,30.05%
Llama 3 Instruct 70B,Meta,Meta training dataset,30.05%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,29.94%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,29.89%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,29.87%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,29.74%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,29.71%
Codestral-Mamba,Mistral,Mistral training dataset,29.65%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,29.58%
Devstral Small (Jul '25),Mistral,Mistral training dataset,29.30%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,29.19%
Pixtral Large,Mistral,Mistral training dataset,29.01%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,28.47%
Mistral Small 3.1,Mistral,Mistral training dataset,28.34%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,28.03%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,27.99%
Mistral Small (Sep '24),Mistral,Mistral training dataset,27.97%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,27.78%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,27.77%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,27.73%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,27.58%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,27.40%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,27.27%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,27.23%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,27.18%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,27.13%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,26.85%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,26.40%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,26.38%
Gemma 3 27B Instruct,Google,Google training dataset,26.36%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,26.11%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,26.11%
Granite 4.0 H Small,IBM,IBM training dataset,26.03%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,25.90%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,25.86%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,25.46%
Gemma 3 12B Instruct,Google,Google training dataset,25.39%
Gemma 2 9B,Google,Google training dataset,25.34%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,25.19%
Pixtral 12B (2409),Mistral,Mistral training dataset,25.05%
Reka Flash 3,Reka AI,Reka AI training dataset,24.89%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,24.65%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,24.47%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,24.22%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,23.61%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,23.21%
Mistral Small 3,Mistral,Mistral training dataset,23.20%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,22.54%
Command-R+ (Aug '24),Cohere,Cohere training dataset,22.52%
LFM 40B,Liquid AI,Liquid AI training dataset,22.43%
Command-R+ (Apr '24),Cohere,Cohere training dataset,22.27%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,22.26%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,21.98%
Llama 3 Instruct 8B,Meta,Meta training dataset,21.54%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,21.48%
DBRX Instruct,Databricks,Databricks training dataset,21.41%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,21.36%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,21.31%
Llama 2 Chat 70B,Meta,Meta training dataset,21.29%
Llama 2 Chat 13B,Meta,Meta training dataset,21.16%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,20.70%
Mistral NeMo,Mistral,Mistral training dataset,20.68%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,20.67%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,20.60%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,20.20%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,20.04%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,19.70%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,19.50%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,19.29%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,19.23%
Aya Expanse 32B,Cohere,Cohere training dataset,19.21%
R1 1776,Perplexity,Perplexity training dataset,19.10%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,19.00%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,18.95%
Solar Mini,Upstage,Upstage training dataset,18.90%
Gemma 3 4B Instruct,Google,Google training dataset,18.89%
Gemma 3n E4B Instruct,Google,Google training dataset,18.81%
Granite 4.0 Micro,IBM,IBM training dataset,18.74%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,18.71%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,18.48%
Grok-1,xAI,xAI training dataset,18.20%
Codestral (May '24),Mistral,Mistral training dataset,17.99%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,17.21%
Ministral 8B,Mistral,Mistral training dataset,17.15%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,16.82%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,15.92%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,15.37%
Granite 4.0 H 1B,IBM,IBM training dataset,15.11%
Granite 4.0 1B,IBM,IBM training dataset,14.75%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,14.73%
Gemma 3n E2B Instruct,Google,Google training dataset,14.68%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,14.50%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,14.18%
Aya Expanse 8B,Cohere,Cohere training dataset,13.44%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,12.76%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,12.60%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,11.87%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,11.83%
Llama 2 Chat 7B,Meta,Meta training dataset,11.62%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,11.20%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,8.60%
Gemma 3 1B Instruct,Google,Google training dataset,8.08%
Granite 4.0 H 350M,IBM,IBM training dataset,7.92%
Arctic Instruct,Snowflake,Snowflake training dataset,7.60%
Granite 4.0 350M,IBM,IBM training dataset,7.40%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,5.60%
Gemma 3 270M,Google,Google training dataset,4.59%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A
