Model Name,Provider,Dataset,Use Case Score
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,30.80%
Command A,Cohere,Cohere training dataset,30.75%
Reka Flash 3,Reka AI,Reka AI training dataset,30.09%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,29.59%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,29.57%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,28.47%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,28.46%
Granite 4.0 350M,IBM,IBM training dataset,28.18%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,28.07%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,27.92%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,27.59%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,27.49%
Grok 2 (Dec '24),xAI,xAI training dataset,27.47%
Pixtral Large,Mistral,Mistral training dataset,27.43%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,26.87%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,26.76%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,26.71%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,26.25%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,25.76%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,25.33%
Devstral Small (May '25),Mistral,Mistral training dataset,25.24%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,25.10%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,24.94%
Mistral Small 3,Mistral,Mistral training dataset,24.51%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,24.38%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,24.08%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,23.99%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,23.61%
Mistral Small 3.2,Mistral,Mistral training dataset,23.58%
Mistral Small 3.1,Mistral,Mistral training dataset,23.47%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,23.44%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,23.38%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,23.28%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,22.85%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,22.71%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,22.51%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,22.23%
Devstral Small (Jul '25),Mistral,Mistral training dataset,21.72%
Codestral (May '24),Mistral,Mistral training dataset,21.51%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,21.47%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,21.43%
Gemma 2 27B,Google,Google training dataset,21.30%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,21.09%
MiniMax-Text-01,MiniMax,MiniMax training dataset,21.05%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,20.91%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,20.91%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,20.64%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,20.47%
Llama 4 Scout,Meta,Meta training dataset,20.42%
Gemma 3 12B Instruct,Google,Google training dataset,19.82%
Granite 4.0 H Small,IBM,IBM training dataset,19.74%
Llama 3 Instruct 70B,Meta,Meta training dataset,19.41%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,19.01%
Aya Expanse 32B,Cohere,Cohere training dataset,18.91%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,18.55%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,18.41%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,17.71%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,17.30%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,17.14%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,16.51%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,16.38%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,16.30%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,15.95%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,15.93%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,15.87%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,15.69%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,14.99%
Gemma 3 4B Instruct,Google,Google training dataset,14.95%
Gemma 3 27B Instruct,Google,Google training dataset,14.75%
Mistral Small (Sep '24),Mistral,Mistral training dataset,14.74%
Gemma 3 270M,Google,Google training dataset,14.00%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,13.54%
Gemma 3n E2B Instruct,Google,Google training dataset,13.40%
Granite 4.0 Micro,IBM,IBM training dataset,12.99%
Pixtral 12B (2409),Mistral,Mistral training dataset,12.36%
Codestral-Mamba,Mistral,Mistral training dataset,12.23%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,12.20%
Command-R+ (Apr '24),Cohere,Cohere training dataset,12.03%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,11.75%
Command-R+ (Aug '24),Cohere,Cohere training dataset,11.57%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,11.50%
Llama 2 Chat 7B,Meta,Meta training dataset,11.43%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,11.32%
Llama 2 Chat 13B,Meta,Meta training dataset,10.66%
Llama 3 Instruct 8B,Meta,Meta training dataset,10.59%
DBRX Instruct,Databricks,Databricks training dataset,10.37%
Gemma 3n E4B Instruct,Google,Google training dataset,10.14%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,9.84%
Llama 2 Chat 70B,Meta,Meta training dataset,9.80%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,9.63%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,9.54%
Ministral 8B,Mistral,Mistral training dataset,9.45%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,8.76%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,8.72%
LFM 40B,Liquid AI,Liquid AI training dataset,8.53%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,8.41%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,8.39%
Granite 4.0 H 1B,IBM,IBM training dataset,8.38%
Mistral NeMo,Mistral,Mistral training dataset,7.71%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,6.97%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,6.83%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,6.68%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,6.25%
Command-R (Aug '24),Cohere,Cohere training dataset,6.24%
Aya Expanse 8B,Cohere,Cohere training dataset,6.12%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,6.10%
Command-R (Mar '24),Cohere,Cohere training dataset,5.40%
Granite 4.0 1B,IBM,IBM training dataset,5.39%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,4.97%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,4.91%
Mistral 7B Instruct,Mistral,Mistral training dataset,3.66%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,3.27%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,3.14%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,1.85%
Granite 4.0 H 350M,IBM,IBM training dataset,1.51%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,1.51%
Grok-1,xAI,xAI training dataset,N/A
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A
R1 1776,Perplexity,Perplexity training dataset,N/A
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,N/A
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,N/A
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,N/A
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,N/A
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,N/A
Solar Mini,Upstage,Upstage training dataset,N/A
Arctic Instruct,Snowflake,Snowflake training dataset,N/A
